source	reference	greedy	beam
<ans> 1066 میں </ans> ، نورمنڈی کے ڈیوک ولیم دوم نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیسٹنگس کی جنگ کب ہوئی تھی؟	کس سال میں چارلس دوم نے دوم دوم دوم دوم کی فتح فتح کی؟	کس سال میں چارلس دوم دوم دوم دوم دوم کو شکست دی؟
حملہ آور نارمنز اور ان کی اولاد نے انگلینڈ کے حکمران طبقے کے طور پر <ans> اینگلو سیکسنز </ans> کی جگہ لے لی۔	نارمنوں سے پہلے حکمران طبقہ کون تھا؟	فرانس کے حکمرانوں نے حکمرانوں کے حکمران کے حکمران کے طور پر کس جگہ لے لی؟	نپولین نے حکمرانوں کے حکمرانوں کے حکمران کے حکمرانطور پر کس کی جگہ لے لی؟
حملہ آور نارمنز اور ان کی اولاد نے انگلینڈ کے حکمران طبقے کے طور پر <ans> اینگلو سیکسنز </ans> کی جگہ لے لی۔	نارمنوں سے پہلے حکمران طبقہ کون تھا؟	فرانس کے حکمرانوں نے حکمرانوں کے حکمران کے حکمران کے طور پر کس جگہ لے لی؟	نپولین نے حکمرانوں کے حکمرانوں کے حکمران کے حکمرانطور پر کس کی جگہ لے لی؟
اس کے نتیجے میں یہ <ans> جدید انگریزی </ans> میں تیار ہوا۔	اینگلو نارمن زبان کی آخری شکل کیا تھی؟	انگریزی زبان میں تیار ہونے والی زبان تیار تیار کی؟	انگریزی زبان کس زبان تیار تیار ہوا؟
<ans> 1169 </ans> میں بینو بے پر اپنے حملے کے بعد نارمنز نے آئرش ثقافت اور تاریخ پر گہرا اثر ڈالا۔	کس سال میں نارمنز نے بینو بے پر حملہ کیا؟	کس سال میں لارڈ پر پر حملہ کیا گیا تھا؟	کس سال میں لارڈ پر حملہ کیا گیا تھا؟
نارمنز زیادہ تر <ans> آئرلینڈ </ans> کے مشرق میں ایک علاقے میں آباد ہوئے ، جسے بعد میں پیلی کے نام سے جانا جاتا ہے ، اور ٹرم کیسل اور ڈبلن کیسل سمیت بہت سے عمدہ قلعے اور بستیوں کی تعمیر بھی کی۔	1169 میں نارمنز نے کس ملک پر حملہ کیا؟	نارمنز کس براعظم میں کس علاقے میں آباد ہوئے؟	نارمنز کس براعظم میں کس علاقے میں آباد ہوئے؟
نارمنز نے 1169 میں بینو بے پر اپنے حملے کے بعد <ans> آئرش </ans> ثقافت اور تاریخ پر گہرا اثر ڈالا۔	نارمنز نے آئرلینڈ میں کس ثقافت کے ساتھ امتزاج کیا؟	جب وہ نے پر پر حملہ کیا تو کیا ہوا؟	زو نے نے کس ثقافت پر کس اثر ڈالا؟
ولیم فاتح کی مخالفت کرنے والے انگریزی تخت کے دعویداروں میں سے ایک ، <ans> ایڈگر </ans> ایتھلنگ ، بالآخر اسکاٹ لینڈ بھاگ گیا۔	مارگریٹ کا بھائی کون تھا؟	کون سا انگریزی بادشاہ ایک تھیم کے نام کیا تھا؟	ایک مشہور انگریزی نام کیا ہے جس
ولیم فاتح کی مخالفت کرنے والے انگریزی تخت کے دعویداروں میں سے ایک ، <ans> ایڈگر ایتھلنگ </ans> ، بالآخر اسکاٹ لینڈ بھاگ گیا۔	مارگریٹ کا بھائی کون تھا؟	اسکاٹ لینڈ کے کون سا انگریزی نام کیا ہے؟	اسکاٹ لینڈ میں کون لینڈ کا انگریزی نام کیا ہے؟
<ans> اسکاٹ لینڈ کے بادشاہ میلکم سوم </ans> نے ایڈگر کی بہن مارگریٹ سے شادی کی ، اور ولیم کی مخالفت میں آگیا جس نے پہلے ہی اسکاٹ لینڈ کی جنوبی سرحدوں پر تنازعہ کھڑا کیا تھا۔	مارگریٹ کا شوہر کون تھا؟	ایڈری کی شادی کس نے کی؟	ایڈری کی شادی کس نے کی؟
اسکاٹ لینڈ کے <ans> کنگ میلکم III </ans> نے ایڈگر کی بہن مارگریٹ سے شادی کی ، اور ولیم کی مخالفت میں آگیا جس نے پہلے ہی اسکاٹ لینڈ کی جنوبی سرحدوں پر تنازعہ کھڑا کیا تھا۔	مارگریٹ کا شوہر کون تھا؟	کس نے شادی کی شادی کی؟	اسکاٹ لینڈ میں شادی کی شادی کس نے کی؟
اسکاٹ لینڈ کے <ans> کنگ میلکم III </ans> نے ایڈگر کی بہن مارگریٹ سے شادی کی ، اور ولیم کی مخالفت میں آگیا جس نے پہلے ہی اسکاٹ لینڈ کی جنوبی سرحدوں پر تنازعہ کھڑا کیا تھا۔	مارگریٹ کا شوہر کون تھا؟	کس نے شادی کی شادی کی؟	اسکاٹ لینڈ میں شادی کی شادی کس نے کی؟
ولیم نے <ans> 1072 </ans> میں اسکاٹ لینڈ پر حملہ کیا ، جہاں تک وہ اپنے بحری جہازوں کے بیڑے سے ملا۔	ولیم نے اسکاٹ لینڈ پر کب حملہ کیا تھا؟	کس سال اسکاٹ لینڈ نے نے لینڈ پر حملہ کیا؟	ولیم نے اسکاٹ لینڈ پر کب حملہ کیا؟
میلکم نے ولیم کو خراج تحسین پیش کیا اور اپنے بیٹے <ans> ڈنکن </ans> کو یرغمال کے طور پر ہتھیار ڈال دیا ، اس سلسلے میں ایک بحث کا آغاز کیا۔	یرغمال کون تھا؟	ولیم ک نے اپنے والد کو کس کے طور پر کس نے ہتھیار کیا؟	میل  کے والد بیٹا کون تھا؟
اسکاٹ لینڈ کے بادشاہ ڈیوڈ اول ، جس کے بڑے بھائی الیگزینڈر اول نے <ans> نارمنڈی کی سیبیلہ </ans> سے شادی کی تھی ، اسکاٹ لینڈ میں نارمن اور نارمن ثقافت کو متعارف کرانے میں اہم کردار ادا کیا ، اس عمل کا حصہ کچھ اسکالرز ڈیوڈین انقلاب کہتے ہیں۔	الیگزینڈر اول نے کس سے شادی کی؟	اسکاٹ اول اول کس کس سے شادی کی؟	اسکاٹ اول اول نے کس سے شادی کی؟
اسکاٹ لینڈ کے بادشاہ ڈیوڈ اول ، جس کے بڑے بھائی الیگزینڈر اول نے نارمنڈی کے <ans> سیبیلہ </ans> سے شادی کی تھی ، اسکاٹ لینڈ میں نارمن اور نارمن ثقافت کو متعارف کرانے میں اہم کردار ادا کیا ، اس عمل کا حصہ کچھ اسکالرز ڈیوڈین انقلاب کہتے ہیں۔	الیگزینڈر اول نے کس سے شادی کی؟	اسکاٹ اول اول کا نام کس سے سے تھا؟	اسکاٹ اول اول نے کس سے شادی کی؟
اسکاٹ لینڈ کے بادشاہ ڈیوڈ اول ، جس کے بڑے بھائی الیگزینڈر اول نے نارمنڈی کے سیبیلہ سے شادی کی تھی ، اسکاٹ لینڈ میں نارمن اور <ans> نارمن </ans> ثقافت کو متعارف کرانے میں اہم کردار ادا کیا ، اس عمل کا حصہ کچھ اسکالرز ڈیوڈین انقلاب کہتے ہیں۔	"اسکاٹ لینڈ میں کس ثقافت کی آمد کو ""ڈیوڈین انقلاب"" کے نام سے جانا جاتا ہے؟"	اسکاٹ لینڈ کے کس میں کس ثقافت نے کس ثقافت میں متعارف کرایا؟	اسکاٹ لینڈ کے کون سی ثقافت نے ثقافت کو متعارف کرنے میں مدد کی؟
ایڈورڈ دی کنفیسر نے مذکورہ بالا رالف کو <ans> ہیرفورڈ </ans> کا ارل مقرر کیا تھا اور اسے مارکس کا دفاع کرنے اور ویلش کے ساتھ جنگ کرنے کا الزام لگایا تھا۔	جہاں رالف ارل تھا؟	ایڈورڈ کے کے کے کے کس نے کس کے کے لئے مقرر کیا؟	ایڈورڈاشی نے نے کس کے کو کس نے مقرر کیا؟ تھا؟ اسے دفاع کرنے کے الزام لگایا گیا تھا؟
ایڈورڈ دی کنفیسر نے مذکورہ بالا رالف کو ہیرفورڈ کے ارل کے طور پر قائم کیا تھا اور اسے مارچز کا دفاع کرنے اور <ans> ویلش </ans> کے ساتھ جنگ کرنے کا الزام لگایا تھا۔	رالف کس کے ساتھ جنگ میں ہونے کا انچارج تھا؟	ایڈورڈ کے کے دفاع کے دفاع کرنے کے الزام کس نے لگایا؟	کس نے دفاعی دفاع کے دفاع کے دفاع کرنے کے الزام لگایا گیا تھا؟
<ans> ایڈورڈ دی کنفیسر </ans> نے مذکورہ بالا رالف کو ہیرفورڈ کے ارل کے طور پر قائم کیا تھا اور اسے مارکس کا دفاع کرنے اور ویلش کے ساتھ جنگ کرنے کا الزام لگایا تھا۔	کس نے رالف کو ارل بنایا؟	کس نے یوٹاا کو بال کو کے کے کے کے کے طور پر کس نے؟	"کس نے تجویز کیا کہ  ⁇ ""کونی بال ⁇  ⁇ "" کا دفاع کرنے کے الزام لگایا گیا تھا؟"
ان نارمنوں نے آہستہ آہستہ فتح کی ایک طویل مدت کا آغاز کیا جس کے دوران تقریبا تمام <ans> ویلز </ans> کسی وقت نارمن مداخلت کے تابع تھا۔	کون سا ملک نارمن بارونز کے کنٹرول میں تھا؟	ان کےوں نے کس قسم کی فوجی فورس کا؟	جب نارمنوں نے وں کی فتح فتح کی تو اس عرصے میں کتنے لوگ تھے؟
<ans> 1018 </ans> میں ، راجر ڈی ٹوسنی نے موریش زمینوں سے اپنے لئے ایک ریاست بنانے کے لئے جزیرہ نما ایبیریا کا سفر کیا ، لیکن ناکام رہا۔	کون سا سال راجر ڈی ٹوسنی نے وہ کام کرنے میں ناکام رہا جو اس نے شروع کیا تھا؟	کس سال میں ڈی نے نے نے نما ایبیریا کے سفر کرنے کا سفر کیا؟	کس سال میں پالوں نے نے نورفولک جزیرہ نما ایبیریا کا سفر کیا؟
<ans> 1064 </ans> میں ، بارباسٹرو کی جنگ کے دوران ، مونٹریویل کے ولیم نے پوپ کی فوج کی قیادت کی اور ایک بہت بڑا مال غنیمت لیا۔	کون سا سال راجر ڈی ٹوسنی نے وہ کام کرنے میں ناکام رہا جو اس نے شروع کیا تھا؟	کس سال میں کی کی کی فوج کی فوج کی قیادت کی؟	کس سال میں چوتھے کی قیادت کس سال کی ہوئی تھی؟
1064 میں ، بارباسٹرو کی جنگ کے دوران ، <ans> ویلیم آف مونٹریویل </ans> نے پوپ کی فوج کی قیادت کی اور ایک بہت بڑا مال غنیمت لیا۔	بارباسترو کی جنگ میں پوپ کی فوج کا انچارج کون تھا؟	کون کی جنگ میں کس کی فوج کی قیادت کس نے کی؟	کون کی جنگ کی قیادت کس نے کی؟
<ans> 1097 </ans> میں انطاکیہ کے کامیاب محاصرے کے بعد ، بوہیمنڈ نے اس شہر کے ارد گرد ایک آزاد شہنشاہیت بنانا شروع کردی۔	انطاکیہ کا محاصرہ کب ہوا؟	بوہ نے کس سال میں کب شروع کیا؟	بوہہ نے کس سال شروع کیا؟
1096 میں ، امالفی کے محاصرے سے گزرنے والے صلیبیوں میں ٹرانٹو کے بوہیمنڈ اور اس کے بھتیجے <ans> ٹینکریڈ </ans> نے اطالوی نارمنوں کی فوج کے ساتھ شمولیت اختیار کی۔	بوہمنڈ کے بھتیجے کا نام کیا تھا؟	اطالویوںوں کے ساتھ ساتھ، کون فوج کے ساتھ فوج کے ساتھ فوج کے ساتھ فوج کے ساتھ اتحاد کیا؟	اطالویوںوں کے پوتے پوتے کے کس نے فوجوں نے فوج کی فوج کے ساتھ تعاون کیا؟
ٹانکریڈ نے <ans> یروشلم </ans> کی فتح میں اہم کردار ادا کیا اور اس نے ٹرانس اردن اور گلیل کے خطے میں صلیبی سلطنت کی توسیع کے لئے کام کیا۔	ٹینکریڈ نے کون سی بڑی فتح میں کردار ادا کیا؟	مونٹنو نے نے فتح میں کس فتح کیا؟	مونٹنوکنز نے کس فتح کیا تھا؟
تیسری صلیبی جنگ کی اینگلو نارمن فورسز کی طرف سے قبرص کی فتح نے جزیرے کی تاریخ میں ایک نیا باب کھولا ، جو اگلے <ans> 380 سالوں </ans> کے لئے مغربی یورپی تسلط کے تحت ہوگا۔	مغربی یورپ نے کب تک قبرص پر کنٹرول کیا؟	کتنے سالوں نے قبرص کی طرف سے کتنے؟	کتنی دیر تک یونان نے کتنی دیر تک یورپی تارکین وطن کی توجہ کی؟؟
لیکن <ans> ایک طوفان </ans> نے بیڑے کو منتشر کردیا۔	رچرڈ کے اکرا پہنچنے کے منصوبوں کو کس چیز نے برباد کر دیا؟	کس بیڑے کو بیڑے کو کو کو کو کو کو کو کو؟	کس بیڑے نے بیڑے کو کو کو کو کو کو؟
کچھ تلاش کے بعد ، یہ دریافت کیا گیا کہ اس کی بہن اور اس کی منگیتر <ans> برینگاریا </ans> لے جانے والی کشتی قبرص کے جنوبی ساحل پر لنگر انداز تھی ، جس میں خزانہ جہاز سمیت کئی دوسرے جہازوں کے ملبے بھی شامل تھے۔	رچرڈ کی منگیتر کون تھی؟	کون سی کی اس کی کی کے کی کے طور پر؟	اس کی کا نام کیا تھا جس
جزیرے کے ظالم <ans> اسحاق کومنینوس </ans> نے ملبے میں بچ جانے والوں کو قید کر لیا تھا۔	1191 میں قبرص پر کس نے حکمرانی کی؟	اس جزیرے پر کس نے جانے والے بچے جانے والے بچے کو کس نے؟	اس جزیرے کا نام کیا تھا جو بچ جانے والے بچ جانے والے بچے جانے کی اجازت دی؟
اس نے <ans> اسحاق </ans> کو قیدیوں اور خزانے کو رہا کرنے کا حکم دیا۔	1191 میں قبرص پر کس نے حکمرانی کی؟	اس نے کو کو کو کونے کے لئے کس کو بھیجے گیا تھا؟	شوپن نے چھٹے کو کو کونے کے لئے کس کو بھیجے گیا تھا؟
سب نے رچرڈ کی حمایت کا اعلان کیا بشرطیکہ وہ اپنے حریف <ans> کونراڈ آف مونٹفریٹ </ans> کے خلاف گائے کی حمایت کرے۔	گائے کا حریف کون تھا؟	رچرڈ کی کا نام کیا تھا جس نے  کی حمایت کی؟	رچرڈ کی کس کا نام کیا تھا؟
آئزک نے ہتھیار ڈالے اور اسے <ans> چاندی </ans> کی زنجیروں سے بند کردیا گیا ، کیونکہ رچرڈ نے وعدہ کیا تھا کہ وہ اسے لوہے میں نہیں رکھے گا۔	اسحاق کی زنجیریں کس چیز سے بنی تھیں؟	کس نےز نے ہتھیاروں کو ہتھیاروں کو کس کیا؟	آززز نے ہتھیاروں کو کس کیا؟؟
مقدس سرزمین کے مختلف شہزادے ایک ہی وقت میں لیماسول پہنچے ، خاص طور پر <ans> گئی ڈی لوسینین </ans> ۔	جب قبرص پر قبضہ کیا گیا تو رچرڈ کی فوجوں کی قیادت کس نے کی؟	مقدسول کے لئے کون سا فرقہ مقدس مقدس مقدس؟	مقدسولول میں کون سی مشہور تھی؟ تھی؟
1402 اور 1405 کے درمیان ، نارمن شریف جین ڈی بیتینکورٹ اور پوئٹیوین گیڈیفر ڈی لا سال کی قیادت میں مہم نے <ans> افریقہ </ans> کے اٹلانٹک ساحل سے لانساروٹ ، فورٹی وینٹورا اور ایل ہیرو کے کینری جزیروں پر فتح حاصل کی۔	کن کنٹیننٹ کے ساحل سے دور کینری جزائر ہیں؟	کس اٹلانٹکا کس ملک میں اٹلانٹک سٹی کی طرف سے اٹلانٹکٹو کین کی قیادت کس نے کی؟	اٹلانٹک سٹی کے درمیان اٹلانٹک کس ملک میں منعقد کیا گیا تھا؟
<ans> بیٹینکورٹ </ans> نے کینری جزیروں کے بادشاہ کا لقب لیا ، جیسا کہ ہینری III آف کاسٹیل کا واسل تھا۔	کون کینری جزائر کا بادشاہ بن گیا؟	کون جزائر کا نام کیا تھا؟	کون جزائر کا نام کیا تھا؟
1418 میں ، جان کے بھتیجے میسیوٹ ڈی بیتھینکور نے جزائر کے حقوق <ans> اینریک پیریز ڈی گوزمان </ans> ، دوسرے کاؤنٹ ڈی نیبلا کو فروخت کیے۔	کس نے حقوق خریدے؟	مارشل جزائر میں تووالو کے حقوق حقوق حقوق حقوق حقوق حقوق حقوق کے حقوق کے حقوق میں کون سا حقوق حقوق؟	مارشل جزائر میں مارشل جزائر کے حقوق جزائر حقوق حقوق حقوق حقوق کے حقوق میں کون سا حقوق تھا؟
1418 میں ، جان کے بھتیجے <ans> ماسیوٹ ڈی بیتھنکورٹ </ans> نے جزائر کے حقوق اینریک پیریز ڈی گوزمان ، دوسرے کاؤنٹ ڈی نیبلا کو فروخت کیے۔	کس نے حقوق فروخت کیے؟	کس نے نے نے نے نے نے نے خریدا؟	کس نے نے نے نے نے ڈی این ڈی کوز ڈی ڈیز کوز کو خریدا؟
نارمنڈی کا روایتی قانون 10 ویں اور 13 ویں صدی کے درمیان تیار کیا گیا تھا اور <ans> چینل جزائر </ans> میں جرسی اور گرنسی کے قانونی نظام کے ذریعے آج تک زندہ ہے۔	جرسی اور گرنسی کہاں ہیں؟	سان ویں صدی میں آخر میں کس جزیرے پر کہاں رہتے تھے؟	سان ویں صدی کے آخر میں کس جزیرے پر کہاں رہتے تھے؟
نارمنڈی کا روایتی قانون 10 ویں اور 13 ویں صدی کے درمیان تیار کیا گیا تھا اور آج <ans> چینل جزائر </ans> میں جرسی اور گرنسی کے قانونی نظام کے ذریعے زندہ ہے۔	جرسی اور گرنسی کہاں ہیں؟	کس جزیرے پر کہاں کہاں واقع ہے؟	سان ویں صدی کے آخر میں کس جزیرے پر کہاں رہتے ہیں؟
نارمنڈی کا روایتی قانون 10 ویں اور 13 ویں صدی کے درمیان تیار کیا گیا تھا اور آج <ans> چینل جزائر </ans> میں جرسی اور گرنسی کے قانونی نظام کے ذریعے زندہ ہے۔	جرسی اور گرنسی کہاں ہیں؟	کس جزیرے پر کہاں کہاں واقع ہے؟	سان ویں صدی کے آخر میں کس جزیرے پر کہاں رہتے ہیں؟
نارمن روایتی قانون کو دو ججوں نے لاطینی زبان میں <ans> دو </ans> روایتی میں نقل کیا تھا تاکہ وہ ان اور ان کے ساتھیوں کے استعمال کے لئے استعمال کرسکیں۔	نارمن روایتی قانون میں کتنے رسم و رواج ہیں؟	روایتی  میں کتنے  میں روایتی  میں استعمال کیا گیا تھا؟	روایتی  میں کتنے  روایتی  میں استعمال کیا گیا تھا؟
انہوں نے انگلینڈ اور اٹلی میں ایک انوکھا <ans> رومنسک </ans> محاورہ پھیلایا ، اور ان علاقوں کو ان کے شمالی فرانسیسی انداز میں برقرار رکھنے کے ساتھ بنیادی طور پر فوجی زمین کی تزئین کو تبدیل کردیا۔	نارمن فن تعمیر کی زبان کیا ہے؟	انگلینڈ اور انگلینڈ میں کون سا مصالححی اور؟	انگلینڈ اور انگلینڈ میں کون سا مذہب متعارف کرایا گیا تھا؟
ان کے انداز میں <ans> گول </ans> قوسوں کی خصوصیت تھی ، خاص طور پر کھڑکیوں اور دروازوں پر ، اور بڑے پیمانے پر تناسب۔	نارمن فن تعمیر میں کس طرح کے قوس ہوتے ہیں؟	کے انداز میں کس قسم کی خصوصیت خصوصیت تھیں؟	کس قسم کے گرجی اندازوں میں خصوصیت کی خصوصیت خصوصیت تھی خصوصیت تھی؟
انگلینڈ میں ، نارمن فن تعمیر کا دور فوری طور پر اینگلو سیکسن کے بعد آتا ہے اور <ans> ابتدائی گوتھک </ans> سے پہلے آتا ہے۔	انگلینڈ میں نارمن کے بعد کس قسم کا فن تعمیر آیا؟	نارمن میں کس فن تعمیر سے پہلے کس سا دوسرا واقعہ استعمال کیا گیا تھا؟	رومن فن تعمیر کا آغاز کس سے پہلے ہوا؟
انگلینڈ میں ، نارمن فن تعمیر کا دور فوری طور پر <ans> اینگلو سیکسن </ans> کے بعد ہوتا ہے اور ابتدائی گوتھک سے پہلے ہوتا ہے۔	انگلینڈ میں نارمن سے پہلے کس قسم کا فن تعمیر آیا تھا؟	رومن فن تعمیر کا آغاز کس دور میں ہوا؟	رومن فن تعمیر کا آغاز کس دور میں ہوا؟
جنوبی اٹلی میں ، نارمنوں نے اسلامی ، لومبارڈ ، اور بازنطینی تعمیراتی تکنیکوں کے عناصر کو اپنے میں شامل کیا ، جس نے <ans> سیسیلی </ans> کی بادشاہی کے اندر نارمن عرب فن تعمیر کے نام سے جانا جانے والا ایک انوکھا انداز شروع کیا۔	نارمن عرب فن تعمیراتی انداز کی کیا جگہ تھی؟	کون سا رومن  کے فن تعمیر کے طور پر جانا جاتا تھا؟	اٹلی میں کون سا فن تعمیر کا نام کیا تھا؟ طور پر جانا جاتا تھا؟
جنوبی اٹلی میں ، نارمنوں نے اسلامی ، لومبارڈ ، اور بازنطینی تعمیراتی تکنیکوں کے عناصر کو اپنے میں شامل کیا ، جس نے <ans> سیسیلی کی بادشاہی </ans> کے اندر نارمن عرب فن تعمیر کے نام سے جانا جانے والا ایک انوکھا انداز شروع کیا۔	نارمن عرب فن تعمیراتی انداز کی کیا جگہ تھی؟	کون سا کے اپنے نام کیا ہے جس نے اپنے  کے طور پر ایک نئی انداز انداز کے طور	اٹلی میں کون سا فن تعمیر کا نام کیا تھا؟ طور پر جانا جاتا تھا؟
تاہم ، <ans> گیارہویں صدی کے اوائل </ans> میں ڈیوکس نے چرچ اصلاحات کا ایک پروگرام شروع کیا ، خانقاہوں کی کلونیک اصلاحات کی حوصلہ افزائی کی اور دانشورانہ سرگرمیوں کی سرپرستی کی ، خاص طور پر اسکرپٹوریا کے پھیلاؤ اور کھوئے ہوئے روشن مخطوطات کی ایک تالیف کی بحالی۔	چرچ کی اصلاحات کب شروع ہوئیں؟	کسس اصلاحات اصلاحات اصلاحات کب شروع کیا؟	کسس اصلاحات اصلاحات اصلاحات کب شروع کیا؟
تاہم ، <ans> 11 ویں صدی </ans> کے اوائل میں ڈیوکس نے چرچ اصلاحات کا ایک پروگرام شروع کیا ، خانقاہوں کی کلونیک اصلاحات کی حوصلہ افزائی کی اور دانشورانہ سرگرمیوں کی سرپرستی کی ، خاص طور پر اسکرپٹوریا کے پھیلاؤ اور کھوئے ہوئے روشن مخطوطات کی تالیف کی بحالی۔	چرچ کی اصلاحات کب شروع ہوئیں؟	کس صدی میں اصلاحات نے اصلاحات اصلاحات اصلاحات اصلاحات شروع کی؟	کس صدی میں اصلاحات نے اصلاحات اصلاحات اصلاحات کا شروع شروع کیا؟
تاہم ، <ans> گیارہویں صدی کے اوائل میں </ans> ڈیوکس نے چرچ اصلاحات کا ایک پروگرام شروع کیا ، خانقاہوں کی کلونیک اصلاحات کی حوصلہ افزائی کی اور دانشورانہ سرگرمیوں کی سرپرستی کی ، خاص طور پر اسکرپٹوریا کے پھیلاؤ اور کھوئے ہوئے روشن مخطوطات کی تالیف کی بحالی۔	چرچ کی اصلاحات کب شروع ہوئیں؟	کس صدی میں اصلاحات اصلاحات اصلاحات اصلاحات کا شروع کیا؟	کس صدی میں اصلاحات اصلاحات اصلاحات اصلاحات شروع ہوا؟
تاہم ، گیارہویں صدی کے اوائل میں <ans> ڈکس </ans> نے چرچ اصلاحات کا ایک پروگرام شروع کیا ، خانقاہوں کی کلونیک اصلاحات کی حوصلہ افزائی کی اور دانشورانہ سرگرمیوں کی سرپرستی کی ، خاص طور پر اسکرپٹوریا کے پھیلاؤ اور کھوئے ہوئے روشن مخطوطات کی تالیف کی بحالی۔	کس نے اپنے آپ کو متحد کرنے کے لئے چرچ کا استعمال کیا؟	اصلاحات اصلاحات اصلاحات اصلاحات کا آغاز کس نے کیا؟	اصلاحات اصلاحات اصلاحات اصلاحات کا آغاز کس نے کیا؟
چرچ کو <ans> ڈیوکس </ans> نے اپنے مختلف ڈچی کے لئے متحد کرنے والی طاقت کے طور پر استعمال کیا۔	کس نے اپنے آپ کو متحد کرنے کے لئے چرچ کا استعمال کیا؟	چرچ نے کساپنے آپ کو کس کے لیے کس کے طاقت کے استعمال کیا؟	چرچ نے اپنے آپ کو کس کرنے کے لئے کس استعمال کیا؟
<ans> 16 ویں صدی </ans> میں فرانسیسی مذہبی جنگوں اور 18 ویں صدی میں فرانسیسی انقلاب نے کامیابی کے ساتھ اس نارمن تخلیقی صلاحیت کی تعمیراتی اور فنکارانہ باقیات کے راستے میں موجود زیادہ تر کو تباہ کردیا۔	فرانسیسی مذہبی جنگیں کب ہوئیں؟	فرانسیسی صدی میں فرانسیسی فرانسیسی اور فرانسیسی انقلابوں کو زیادہ زیادہ زیادہ تباہ ہو گیا؟	کس صدی میں فرانسیسی جنگوں اور فرانسیسی انقلابوں میں زیادہ زیادہ زیادہ ہو گیا؟
<ans> 16 ویں صدی </ans> میں فرانسیسی مذہبی جنگوں اور 18 ویں صدی میں فرانسیسی انقلاب نے کامیابی کے ساتھ اس نارمن تخلیقی صلاحیت کی تعمیراتی اور فنکارانہ باقیات کے راستے میں موجود زیادہ تر کو تباہ کردیا۔	فرانسیسی مذہبی جنگیں کب ہوئیں؟	فرانسیسی صدی میں فرانسیسی فرانسیسی اور فرانسیسی انقلابوں کو زیادہ زیادہ زیادہ تباہ ہو گیا؟	کس صدی میں فرانسیسی جنگوں اور فرانسیسی انقلابوں میں زیادہ زیادہ زیادہ ہو گیا؟
<ans> 16 ویں صدی میں </ans> فرانسیسی مذہبی جنگوں اور 18 ویں صدی میں فرانسیسی انقلاب نے کامیابی کے ساتھ اس نارمن تخلیقی صلاحیت کی تعمیراتی اور فنکارانہ باقیات کے راستے میں موجود زیادہ تر کو تباہ کردیا۔	فرانسیسی مذہبی جنگیں کب ہوئیں؟	فرانسیسی صدی میں فرانسیسیوں نے انگریزوں اور 19 ویں صدی میں زیادہ تر زیادہ کو زیادہ تباہ کردیا؟	کس صدی میں فرانسیسی اور فرانسیسیوں نے 19 ویں صدی میں آخر میں زیادہ تر زیادہ کو تباہ کردیا؟
نارمن آرٹ کا اب تک کا سب سے مشہور کام بییوکس ٹیپیسٹری ہے ، جو ایک ٹیپیسٹری نہیں بلکہ <ans> برائڈری </ans> کا کام ہے۔	Bayeux Tapestry کی تخلیق میں کس قسم کی سلائی کا استعمال کیا گیا تھا؟	آرٹ آرٹ آرٹ کا سب سے مشہور کام کیا ہے؟	آرٹ آرٹ میں سب سے زیادہ کام کیا کیا ہے؟
نارمن آرٹ کا اب تک کا سب سے مشہور کام <ans> بایوکس ٹیپسٹری </ans> ہے ، جو ٹیپسٹری نہیں بلکہ کڑھائی کا کام ہے۔	نارمن آرٹ کا سب سے مشہور ٹکڑا کیا ہے؟	نارمن آرٹ آرٹ اب بھی کام کام کیا ہے؟	نارمن آرٹ آرٹ اب اب بھی کام کام کام کیا ہے؟
نارمن آرٹ کا اب تک کا سب سے مشہور کام <ans> بییوکس ٹیپسٹری </ans> ہے ، جو ٹیپسٹری نہیں بلکہ کڑھائی کا کام ہے۔	نارمن آرٹ کا سب سے مشہور ٹکڑا کیا ہے؟	نارمن آرٹ آرٹ اب بھی کام کام کیا ہے؟	نارمن آرٹ آرٹ اب اب بھی کام کام کرتا ہے؟
نارمن آرٹ کا اب تک کا سب سے مشہور کام <ans> بییوکس ٹیپسٹری </ans> ہے ، جو ٹیپسٹری نہیں بلکہ کڑھائی کا کام ہے۔	نارمن آرٹ کا سب سے مشہور ٹکڑا کیا ہے؟	نارمن آرٹ آرٹ اب بھی کام کام کیا ہے؟	نارمن آرٹ آرٹ اب اب بھی کام کام کرتا ہے؟
یہ <ans> اوڈو </ans> ، بییوکس کے بشپ اور کینٹ کے پہلے ارل نے کمیشن کیا تھا ، جس میں کینٹ کے مقامی افراد کو ملازمت دی گئی تھی جو ڈنمارک کے وائکنگز کے ذریعہ پچھلی نصف صدی میں درآمد شدہ نورڈک روایات میں سیکھے گئے تھے۔	ٹیپیسٹری کا حکم کس نے دیا؟	کس میں کون سا کینٹ کے کی نے کس کی؟	کون سا میں کون کے لئےے میں کیا گیا تھا؟
